"SeineRowID","SampleRowID","SeineDirectionCode","SeineLength","SeineWidth","SeineDepth","SeineComments"
"{025F7E0D-7057-4D3A-85B9-0AE7A0917C00}","{A1F2676D-C1CC-44AB-95D6-C24E7B3EE801}","P",20.00,10.00,0.60,
"{0260C739-7BBD-43D4-AAEC-ADB7266F63B0}","{64D9D6AC-A6AE-4AB7-AA06-35CE0A2B1AD7}","P",20.00,10.00,0.95,
"{029660DD-A476-4052-A1A2-7E51C34C76FC}","{B57AD8B3-A3E0-4010-A935-B37879199CC2}",,20.00,10.00,,
"{02B4621B-2881-4115-A0FF-C96045D20ACB}","{71905CD2-5937-4753-BEA7-63296F0E1529}","J",20.00,10.00,1.05,
"{02F810B9-3E2C-4D18-AEA1-E56751B7B2D5}","{F033317D-7308-4EA0-8E0B-97ABB92C4C32}",,20.00,10.00,,
"{039B557D-F9B5-47A2-980A-860E6DD30E75}","{AB5535B2-4F67-4C70-945B-E4E9E97BAB48}",,20.00,10.00,,
"{03DB4D99-64F7-414D-994B-0E15E033ED39}","{C67BF1A3-ACA7-47A6-A886-02ECE2E0D50E}",,20.00,10.00,0.80,
"{03DDD8F1-1255-452B-8A24-3772D4A84A60}","{1A289568-E72D-4D32-959D-2F35937E1ACE}","P",20.00,10.00,0.57,
"{03EAF031-E7B6-4430-ADC9-4597068A80D4}","{B9890EE7-667A-4EA8-AAD8-1AE88D528AFA}","P",20.00,10.00,1.05,"crew:TO, ZS, NB, AC; seine#2"
"{03FF551E-9FF4-487F-9446-2705FC824856}","{D2ABF811-1D74-448A-AE2E-14904B109E7F}","P",20.00,10.00,0.90,"seine # 3"
"{04030315-3981-43A8-A47B-4C4BB1EFE3F3}","{67ABC7E8-7B0F-45C3-83FF-FC4B2FAEDA07}","P",20.00,10.00,1.07,
"{04A1D88A-4F00-4A95-AE91-ACE864F660FB}","{080923D4-C76F-429B-A82F-72C752F15AEA}","P",20.00,10.00,0.60,"seine#1"
"{04A8FDD7-ECDC-4CDD-BB95-DA3439B81C34}","{E4CD747A-AE3E-4DA1-8844-33E485843CB6}",,20.00,10.00,,
"{04B7BEF9-AE3F-4CB7-A1CB-8D02DDBFEDE6}","{63261CA6-7E9C-4584-99BC-703E5BDBABF1}","P",20.00,10.00,1.00,
"{04CF7028-C568-4520-A931-57B417AFDC58}","{183DB04F-35C7-40CD-A45F-B14870E05BEF}","P",20.00,10.00,0.50,
"{05369C85-DC8B-475B-B1C7-B6DFCAC2566E}","{654C4041-0BCF-49E6-9057-8773F7F97A51}",,20.00,10.00,1.20,
"{054C3964-7B0D-4C1F-8BA0-146D0BA0FCB8}","{85F6A6C0-961F-43D5-AB18-0489DC9AB94A}",,20.00,10.00,0.92,
"{0589FE8D-ED87-4396-8D1E-AA55AD8D6A17}","{10F79FEF-2859-4A90-B4DF-200EE1B2D859}",,20.00,10.00,,
"{058DB941-1065-461D-871F-007E042A69B4}","{9370BBCA-B5E9-447B-9CC2-61BCDD1642D3}","P",20.00,10.00,0.66,
"{05A0A096-3E5D-4773-9ED6-69E2FAB4E5F4}","{0C616D76-2990-4F16-B9D1-130DC97F37D0}","P",20.00,10.00,0.50,"seine#3"
"{05C24890-D7CA-4306-891A-49751CEFCA7C}","{DFB832CA-A1D1-467C-B2D6-4D7C164483D6}","P",20.00,10.00,0.93,
"{05D2BD3B-EFF2-4B97-9958-57EE03BFD0E0}","{3EA5F596-7E1E-4B81-B0E9-284D15B0077B}","J",20.00,10.00,0.80,"seine#5"
"{05E6E703-DD20-4E61-AD43-DFC88D88562B}","{07E15757-B595-420A-BBFC-33FF97A9CA30}",,20.00,10.00,1.10,"crew: RS, SK, A. Wintzer, NK; seine#3"
"{05F632CE-B16F-417E-A5ED-6B7A92391882}","{38F638C4-BACD-4458-BB0F-67F2C2DCF810}","P",20.00,10.00,0.78,
"{060FE1C6-DCD6-41A1-9B0E-1B585E36F477}","{337F552B-EB3E-4317-9BF5-32B0713B2D87}",,20.00,10.00,1.20,
"{0633D54D-0993-4334-9D1D-D560223DE4B6}","{5C94CC99-BC1F-4514-92D5-B420CB404D1B}","P",20.00,10.00,0.60,"crew: SP, JH, LL"
"{06468038-7595-43D9-8809-EE8DBC03A6A2}","{26196140-5BCF-46DE-AE7C-DE6FFE66BAC9}","P",20.00,10.00,0.95,"seine#1"
"{064E8BF1-ED4A-4E42-AD9B-4CE69AED0090}","{5C3804D5-0FE7-4BDB-AA1A-0F3ECBD9A3A0}","P",20.00,10.00,0.90,"crew: JD, AL, AW; seine#1"
"{067AE6AC-EA56-48B1-ABE8-78A8CDE835E3}","{A9763597-AC5D-42FC-8AAB-A19013AA7D97}",,20.00,10.00,0.85,
"{0681E436-E6AB-4C75-B081-20E7B25F9557}","{D13288C5-C0D8-44CD-B9BB-CD9D2770D43C}",,20.00,10.00,,
"{06DDA8D5-9C77-4EA2-93A7-0095A4F3A32C}","{83801D5F-59D8-4A19-BFB5-371F83E341F8}","P",20.00,10.00,0.52,
"{06E875AD-388F-4F7E-B76B-B04726828647}","{41B9AD60-C563-43A6-A5D8-6E540ECF5603}",,20.00,10.00,,
"{06FE7A74-0BE9-4DDC-8A08-EF82B124FC1B}","{A05C8136-CF3C-4463-A7F6-A97259FC96B5}",,20.00,10.00,,
"{070FD16C-5B3B-461D-A703-3E00DFBB81AA}","{21D7629C-71A9-4213-95B3-549922722583}","P",20.00,10.00,1.00,"seine#3"
"{0732CECD-23F9-41B8-B614-67E2E80AE0D1}","{067BE55D-E06B-40D8-BB7E-4CECBD1813EA}","P",20.00,10.00,0.88,
"{074E0EEF-119F-40B2-9F1F-18E76DD9387C}","{5AF1C399-44CF-4EED-A832-4BA0BAC70F6B}","P",20.00,10.00,0.87,
"{0759B3A2-FCBC-4CE5-9477-3822F2F04A8A}","{0E2F8720-2DCA-4F1F-9269-91199F40C548}",,20.00,10.00,0.75,
"{07798DC7-EC15-4CA5-B8A5-1F9028F514D1}","{CBDE5790-B63E-44B4-9276-9C77EA26095E}","P",20.00,10.00,0.63,"crew: TO, OR, GR, KB; seine#1"
"{07D31F02-C6FD-4975-8E4F-5427E2544620}","{4955C094-662F-4EBA-85D6-834AB5198119}","P",20.00,10.00,1.00,"crew: PC, CZ, SP; seine#3"
"{07EA362F-DA64-438C-96E5-517045CAAAC7}","{FF32B1FF-8476-40C3-A283-146F27135D30}",,20.00,10.00,1.00,"crew: PC, CZ, SP; seine caught on bottom 3 times, large rock in seine"
"{0802B30A-5CCE-11D4-B974-006008C01BCF}","{AECF76AD-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B30B-5CCE-11D4-B974-006008C01BCF}","{AECF7881-5BD4-11D4-B974-006008C01BCF}","J",20.00,10.00,,
"{0802B30C-5CCE-11D4-B974-006008C01BCF}","{AECF7882-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B30D-5CCE-11D4-B974-006008C01BCF}","{AECF7883-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B30E-5CCE-11D4-B974-006008C01BCF}","{AECF7884-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B30F-5CCE-11D4-B974-006008C01BCF}","{AECF7885-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B310-5CCE-11D4-B974-006008C01BCF}","{AECF7886-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B311-5CCE-11D4-B974-006008C01BCF}","{AECF7888-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B312-5CCE-11D4-B974-006008C01BCF}","{AECF7889-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B313-5CCE-11D4-B974-006008C01BCF}","{AECF788C-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B314-5CCE-11D4-B974-006008C01BCF}","{AECF788D-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B315-5CCE-11D4-B974-006008C01BCF}","{AECF788E-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B316-5CCE-11D4-B974-006008C01BCF}","{AECF788F-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B317-5CCE-11D4-B974-006008C01BCF}","{AECF7890-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B318-5CCE-11D4-B974-006008C01BCF}","{AECF7891-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B319-5CCE-11D4-B974-006008C01BCF}","{AECF7892-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B31A-5CCE-11D4-B974-006008C01BCF}","{AECF7893-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B31B-5CCE-11D4-B974-006008C01BCF}","{AECF7894-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B31C-5CCE-11D4-B974-006008C01BCF}","{AECF7895-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B31D-5CCE-11D4-B974-006008C01BCF}","{AECF7896-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B31E-5CCE-11D4-B974-006008C01BCF}","{AECF7897-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B31F-5CCE-11D4-B974-006008C01BCF}","{AECF789B-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B320-5CCE-11D4-B974-006008C01BCF}","{AECF789C-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B321-5CCE-11D4-B974-006008C01BCF}","{AECF789D-5BD4-11D4-B974-006008C01BCF}","J",20.00,10.00,,
"{0802B322-5CCE-11D4-B974-006008C01BCF}","{AECF789E-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B323-5CCE-11D4-B974-006008C01BCF}","{AECF789F-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B324-5CCE-11D4-B974-006008C01BCF}","{AECF78A0-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B325-5CCE-11D4-B974-006008C01BCF}","{AECF78A1-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B326-5CCE-11D4-B974-006008C01BCF}","{AECF78A2-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B327-5CCE-11D4-B974-006008C01BCF}","{AECF78A3-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B328-5CCE-11D4-B974-006008C01BCF}","{AECF78A4-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B329-5CCE-11D4-B974-006008C01BCF}","{AECF78A8-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B32A-5CCE-11D4-B974-006008C01BCF}","{AECF78AA-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B32B-5CCE-11D4-B974-006008C01BCF}","{AECF78AC-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B32C-5CCE-11D4-B974-006008C01BCF}","{AECF78AD-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B32D-5CCE-11D4-B974-006008C01BCF}","{AECF78AE-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B32E-5CCE-11D4-B974-006008C01BCF}","{AECF78AF-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B32F-5CCE-11D4-B974-006008C01BCF}","{AECF78B0-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B330-5CCE-11D4-B974-006008C01BCF}","{AECF78B1-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B331-5CCE-11D4-B974-006008C01BCF}","{AECF78B5-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B332-5CCE-11D4-B974-006008C01BCF}","{AECF78B6-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B333-5CCE-11D4-B974-006008C01BCF}","{AECF78B7-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B334-5CCE-11D4-B974-006008C01BCF}","{AECF78B8-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B335-5CCE-11D4-B974-006008C01BCF}","{AECF78B9-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B336-5CCE-11D4-B974-006008C01BCF}","{AECF78BA-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B337-5CCE-11D4-B974-006008C01BCF}","{AECF78BB-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B338-5CCE-11D4-B974-006008C01BCF}","{AECF78BC-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B339-5CCE-11D4-B974-006008C01BCF}","{AECF78BD-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B33A-5CCE-11D4-B974-006008C01BCF}","{AECF78BE-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B33B-5CCE-11D4-B974-006008C01BCF}","{AECF78BF-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B33C-5CCE-11D4-B974-006008C01BCF}","{AECF78C0-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B33D-5CCE-11D4-B974-006008C01BCF}","{AECF78C1-5BD4-11D4-B974-006008C01BCF}","J",20.00,10.00,,
"{0802B33E-5CCE-11D4-B974-006008C01BCF}","{AECF78C2-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B33F-5CCE-11D4-B974-006008C01BCF}","{AECF78C3-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B340-5CCE-11D4-B974-006008C01BCF}","{AECF78C4-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B341-5CCE-11D4-B974-006008C01BCF}","{AECF78C5-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B342-5CCE-11D4-B974-006008C01BCF}","{AECF78C6-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B343-5CCE-11D4-B974-006008C01BCF}","{AECF78C8-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B344-5CCE-11D4-B974-006008C01BCF}","{AECF78C9-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B345-5CCE-11D4-B974-006008C01BCF}","{AECF78CA-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B346-5CCE-11D4-B974-006008C01BCF}","{AECF78CB-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B347-5CCE-11D4-B974-006008C01BCF}","{AECF78CC-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B348-5CCE-11D4-B974-006008C01BCF}","{AECF78CD-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B349-5CCE-11D4-B974-006008C01BCF}","{AECF78CE-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B34A-5CCE-11D4-B974-006008C01BCF}","{AECF78CF-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B34B-5CCE-11D4-B974-006008C01BCF}","{AECF78D0-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B34C-5CCE-11D4-B974-006008C01BCF}","{AECF78D1-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B34D-5CCE-11D4-B974-006008C01BCF}","{AECF78D2-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B34E-5CCE-11D4-B974-006008C01BCF}","{AECF78D3-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B34F-5CCE-11D4-B974-006008C01BCF}","{AECF78D4-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B350-5CCE-11D4-B974-006008C01BCF}","{AECF78D5-5BD4-11D4-B974-006008C01BCF}","J",20.00,10.00,,
"{0802B351-5CCE-11D4-B974-006008C01BCF}","{AECF78D8-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B352-5CCE-11D4-B974-006008C01BCF}","{AECF78D9-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B353-5CCE-11D4-B974-006008C01BCF}","{AECF78DA-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B354-5CCE-11D4-B974-006008C01BCF}","{AECF78DD-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B355-5CCE-11D4-B974-006008C01BCF}","{AECF78DE-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B356-5CCE-11D4-B974-006008C01BCF}","{AECF78DF-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B357-5CCE-11D4-B974-006008C01BCF}","{AECF78E0-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B358-5CCE-11D4-B974-006008C01BCF}","{AECF78E1-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B359-5CCE-11D4-B974-006008C01BCF}","{AECF78E2-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B35A-5CCE-11D4-B974-006008C01BCF}","{AECF78E3-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B35B-5CCE-11D4-B974-006008C01BCF}","{AECF78E4-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B35C-5CCE-11D4-B974-006008C01BCF}","{AECF78E5-5BD4-11D4-B974-006008C01BCF}","J",20.00,10.00,,
"{0802B35D-5CCE-11D4-B974-006008C01BCF}","{AECF78E6-5BD4-11D4-B974-006008C01BCF}","J",20.00,10.00,,
"{0802B35E-5CCE-11D4-B974-006008C01BCF}","{AECF78E7-5BD4-11D4-B974-006008C01BCF}","J",20.00,10.00,,
"{0802B35F-5CCE-11D4-B974-006008C01BCF}","{AECF78E8-5BD4-11D4-B974-006008C01BCF}","J",20.00,10.00,,
"{0802B360-5CCE-11D4-B974-006008C01BCF}","{AECF78EA-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B361-5CCE-11D4-B974-006008C01BCF}","{AECF78EB-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B362-5CCE-11D4-B974-006008C01BCF}","{AECF78EC-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B363-5CCE-11D4-B974-006008C01BCF}","{AECF78EE-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B364-5CCE-11D4-B974-006008C01BCF}","{AECF78EF-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B365-5CCE-11D4-B974-006008C01BCF}","{AECF78F0-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B366-5CCE-11D4-B974-006008C01BCF}","{AECF78F4-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B367-5CCE-11D4-B974-006008C01BCF}","{AECF78F5-5BD4-11D4-B974-006008C01BCF}","J",20.00,10.00,,
"{0802B368-5CCE-11D4-B974-006008C01BCF}","{AECF78FD-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B369-5CCE-11D4-B974-006008C01BCF}","{AECF78FE-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B36A-5CCE-11D4-B974-006008C01BCF}","{AECF78FF-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B36B-5CCE-11D4-B974-006008C01BCF}","{AECF7900-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B36C-5CCE-11D4-B974-006008C01BCF}","{AECF7901-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B36D-5CCE-11D4-B974-006008C01BCF}","{AECF7902-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B36E-5CCE-11D4-B974-006008C01BCF}","{AECF7903-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B36F-5CCE-11D4-B974-006008C01BCF}","{AECF7904-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B370-5CCE-11D4-B974-006008C01BCF}","{AECF7905-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B371-5CCE-11D4-B974-006008C01BCF}","{AECF790A-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B372-5CCE-11D4-B974-006008C01BCF}","{AECF790C-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B373-5CCE-11D4-B974-006008C01BCF}","{AECF790E-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B374-5CCE-11D4-B974-006008C01BCF}","{AECF790F-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B375-5CCE-11D4-B974-006008C01BCF}","{AECF7910-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B376-5CCE-11D4-B974-006008C01BCF}","{AECF7911-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B377-5CCE-11D4-B974-006008C01BCF}","{AECF7913-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B378-5CCE-11D4-B974-006008C01BCF}","{AECF7914-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B379-5CCE-11D4-B974-006008C01BCF}","{AECF7915-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B37A-5CCE-11D4-B974-006008C01BCF}","{AECF7916-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B37B-5CCE-11D4-B974-006008C01BCF}","{AECF7917-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B37C-5CCE-11D4-B974-006008C01BCF}","{AECF7918-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B37D-5CCE-11D4-B974-006008C01BCF}","{AECF7919-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B37E-5CCE-11D4-B974-006008C01BCF}","{AECF791A-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B37F-5CCE-11D4-B974-006008C01BCF}","{AECF791B-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B380-5CCE-11D4-B974-006008C01BCF}","{AECF791C-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B381-5CCE-11D4-B974-006008C01BCF}","{AECF791D-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B382-5CCE-11D4-B974-006008C01BCF}","{AECF791E-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B383-5CCE-11D4-B974-006008C01BCF}","{AECF791F-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B384-5CCE-11D4-B974-006008C01BCF}","{AECF7920-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B385-5CCE-11D4-B974-006008C01BCF}","{AECF7921-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B386-5CCE-11D4-B974-006008C01BCF}","{AECF7922-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B387-5CCE-11D4-B974-006008C01BCF}","{AECF7923-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B388-5CCE-11D4-B974-006008C01BCF}","{AECF7924-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B389-5CCE-11D4-B974-006008C01BCF}","{AECF7925-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B38A-5CCE-11D4-B974-006008C01BCF}","{AECF7930-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B38B-5CCE-11D4-B974-006008C01BCF}","{AECF7931-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B38C-5CCE-11D4-B974-006008C01BCF}","{AECF7932-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B38D-5CCE-11D4-B974-006008C01BCF}","{AECF7933-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B38E-5CCE-11D4-B974-006008C01BCF}","{AECF7934-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B38F-5CCE-11D4-B974-006008C01BCF}","{AECF7937-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B390-5CCE-11D4-B974-006008C01BCF}","{AECF7938-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B391-5CCE-11D4-B974-006008C01BCF}","{AECF7939-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B392-5CCE-11D4-B974-006008C01BCF}","{AECF793A-5BD4-11D4-B974-006008C01BCF}",,20.00,10.00,,
"{0802B393-5CCE-11D4-B974-006008C01BCF}","{AECF793B-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B394-5CCE-11D4-B974-006008C01BCF}","{AECF793C-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B395-5CCE-11D4-B974-006008C01BCF}","{AECF793E-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B396-5CCE-11D4-B974-006008C01BCF}","{AECF793F-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
"{0802B397-5CCE-11D4-B974-006008C01BCF}","{AECF7940-5BD4-11D4-B974-006008C01BCF}","P",20.00,10.00,,
